mapq_rank,player_name,team,conference,stats_season,mapq,tier,data_status,accuracy_score,arm_proxy_score,mobility_score,escape_score,passing_capability,movement_capability,reliability,defense_stress_index,dsi_rank,drive_extension_index,dei_rank,escape_to_explosive_rate_proxy,eer_proxy_rank,advanced_data_status
1,Taron Dickens,Northern Illinois,Mountain West,2025,82.36311466161463,Elite,Qualified,98.59154929577466,80.77464788732394,55.563380281690144,92.6056338028169,91.46478873239437,70.38028169014085,1.0,,,,,,,PBP coverage/sample gap
2,Trinidad Chambliss,Ole Miss,SEC,2025,80.82260404730121,Elite,Qualified,83.09859154929576,85.24647887323944,66.90140845070422,90.49295774647888,83.95774647887323,76.33802816901408,1.0,78.66092074837083,4,78.79396984924622,31,0.3541666666666667,16,All three metrics
3,Byrum Brown,Auburn,SEC,2025,80.58871587728983,Elite,Qualified,75.35211267605635,85.1056338028169,92.88732394366197,67.25352112676056,79.25352112676057,82.63380281690141,1.0,82.66838343493798,2,82.56281407035176,24,0.3333333333333333,21,All three metrics
4,Brad Jackson,Texas State,Pac-12,2025,77.40315507290882,Impact,Qualified,88.90845070422536,82.35915492957746,88.23943661971832,32.04225352112676,86.2887323943662,65.7605633802817,1.0,69.93083876392684,15,47.93969849246231,103,0.2808988764044944,41,All three metrics
5,Bear Bachmeier,BYU,Big 12,2025,73.73979824520211,Impact,Qualified,69.8943661971831,74.6830985915493,66.61971830985915,91.90140845070422,71.80985915492958,76.73239436619718,1.0,75.07809543830145,6,66.88442211055276,53,0.18,104,All three metrics
6,Carlos Del Rio-Wilson,Marshall,Sun Belt,2025,73.70450208451545,Impact,Qualified,79.57746478873239,60.80985915492958,81.26760563380282,68.66197183098592,72.07042253521126,76.22535211267606,1.0,62.17174689930628,33,61.90954773869348,66,0.19117647058823528,93,All three metrics
7,Liam O'Brien,Cincinnati,Big 12,2025,73.46413332239261,Impact,Qualified,82.39436619718309,59.436619718309856,75.4225352112676,71.47887323943662,73.2112676056338,73.84507042253522,1.0,63.2101114147572,27,90.85427135678393,8,0.2857142857142857,39,All three metrics
8,Anthony Colandrea,Nebraska,Big Ten,2025,71.20198877191658,Impact,Qualified,72.53521126760563,81.61971830985917,76.97183098591549,45.42253521126761,76.16901408450704,64.35211267605634,1.0,74.86167752785369,7,78.01507537688441,33,0.3392857142857143,19,All three metrics
9,Conner Weigman,Houston,Big 12,2025,70.82115023416569,Impact,Qualified,65.14084507042254,61.514084507042256,84.64788732394366,80.63380281690141,63.69014084507043,83.04225352112677,1.0,63.9853899516502,25,64.67336683417085,60,0.109375,141,All three metrics
10,Drew Mestemaker,Oklahoma State,Big 12,2025,70.32909409236932,Impact,Qualified,84.5950704225352,90.45774647887323,28.23943661971831,85.56338028169014,86.94014084507042,51.16901408450704,1.0,65.42432205171326,22,54.87437185929649,85,0.2608695652173913,50,All three metrics
11,Devon Dampier,Utah,Big 12,2025,70.0333297004154,Impact,Qualified,63.556338028169016,52.95774647887323,90.35211267605632,89.08450704225352,59.316901408450704,89.8450704225352,1.0,59.845280639058224,42,83.71859296482413,19,0.30434782608695654,30,All three metrics
12,Tyler Hughes,Wyoming,Mountain West,2025,69.96635738098875,Starter,Qualified,83.27464788732395,62.25352112676057,89.1549295774648,24.295774647887324,74.86619718309859,63.21126760563381,1.0,58.151250788311955,50,81.13065326633165,27,0.21212121212121213,81,All three metrics
