mapq_rank,player_name,team,conference,stats_season,mapq,tier,data_status,accuracy_score,arm_proxy_score,mobility_score,escape_score,passing_capability,movement_capability,reliability,defense_stress_index,dsi_rank,drive_extension_index,dei_rank,escape_to_explosive_rate_proxy,eer_proxy_rank,advanced_data_status
1,Taron Dickens,Northern Illinois,Mountain West,2025,77.50864746237244,Impact,Qualified - older season,98.59154929577466,80.77464788732394,55.563380281690144,92.6056338028169,91.46478873239437,70.38028169014085,0.85,,,,,,,PBP coverage/sample gap
2,Trinidad Chambliss,Ole Miss,SEC,2025,76.19921344020602,Impact,Qualified - older season,83.09859154929576,85.24647887323944,66.90140845070422,90.49295774647888,83.95774647887323,76.33802816901408,0.85,74.36178263611521,4,78.79396984924622,31,0.3541666666666667,16,All three metrics
3,Byrum Brown,Auburn,SEC,2025,76.00040849569635,Impact,Qualified - older season,75.35211267605635,85.1056338028169,92.88732394366197,67.25352112676056,79.25352112676057,82.63380281690141,0.85,77.76812591969728,2,82.56281407035176,24,0.3333333333333333,21,All three metrics
4,Brad Jackson,Texas State,Pac-12,2025,73.2926818119725,Impact,Qualified - older season,88.90845070422536,82.35915492957746,88.23943661971832,32.04225352112676,86.2887323943662,65.7605633802817,0.85,66.94121294933782,15,47.93969849246231,103,0.2808988764044944,41,All three metrics
5,Bear Bachmeier,BYU,Big 12,2025,70.17882850842179,Impact,Qualified - older season,69.8943661971831,74.6830985915493,66.61971830985915,91.90140845070422,71.80985915492958,76.73239436619718,0.85,71.31638112255624,6,66.88442211055276,53,0.18,104,All three metrics
6,Carlos Del Rio-Wilson,Marshall,Sun Belt,2025,70.14882677183813,Impact,Qualified - older season,79.57746478873239,60.80985915492958,81.26760563380282,68.66197183098592,72.07042253521126,76.22535211267606,0.85,60.34598486441034,33,61.90954773869348,66,0.19117647058823528,93,All three metrics
7,Liam O'Brien,Cincinnati,Big 12,2025,69.94451332403372,Starter,Qualified - older season,82.39436619718309,59.436619718309856,75.4225352112676,71.47887323943662,73.2112676056338,73.84507042253522,0.85,61.22859470254362,27,90.85427135678393,8,0.2857142857142857,39,All three metrics
8,Anthony Colandrea,Nebraska,Big Ten,2025,68.0216904561291,Starter,Qualified - older season,72.53521126760563,81.61971830985917,76.97183098591549,45.42253521126761,76.16901408450704,64.35211267605634,0.85,71.13242589867563,7,78.01507537688441,33,0.3392857142857143,19,All three metrics
9,Conner Weigman,Houston,Big 12,2025,67.69797769904083,Starter,Qualified - older season,65.14084507042254,61.514084507042256,84.64788732394366,80.63380281690141,63.69014084507043,83.04225352112677,0.85,61.887581458902666,25,64.67336683417085,60,0.109375,141,All three metrics
10,Drew Mestemaker,Oklahoma State,Big 12,2025,67.27972997851393,Starter,Qualified - older season,84.5950704225352,90.45774647887323,28.23943661971831,85.56338028169014,86.94014084507042,51.16901408450704,0.85,63.11067374395627,22,54.87437185929649,85,0.2608695652173913,50,All three metrics
